17:05:28.355 INFO  [] Logging initialized @1426ms 
17:05:28.532 INFO  [] jetty-9.2.11.v20150529 
17:05:28.667 INFO  [] Initializing Spring root WebApplicationContext 
17:05:28.668 INFO  [] Root WebApplicationContext: initialization started 
17:05:28.672 INFO  [] Refreshing Root WebApplicationContext: startup date [Wed Jun 27 17:05:28 CLT 2018]; root of context hierarchy 
17:05:28.792 INFO  [] Found 3 annotated classes in package [com.dataparse.server.config] 
17:05:30.417 INFO  [] JSR-330 'javax.inject.Inject' annotation found and supported for autowiring 
17:05:30.622 INFO  [] Bean 'springfox.documentation.schema.configuration.ModelsConfiguration' of type [class springfox.documentation.schema.configuration.ModelsConfiguration$$EnhancerBySpringCGLIB$$245628bb] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
17:05:30.635 INFO  [] Bean 'typeResolver' of type [class com.fasterxml.classmate.TypeResolver] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
17:05:30.636 INFO  [] Bean 'appConfig' of type [class com.dataparse.server.config.AppConfig$$EnhancerBySpringCGLIB$$ab018544] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
17:05:30.740 INFO  [] Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [class org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$8794b66f] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
17:05:30.899 INFO  [] Bean 'org.springframework.cache.annotation.ProxyCachingConfiguration' of type [class org.springframework.cache.annotation.ProxyCachingConfiguration$$EnhancerBySpringCGLIB$$d0a6ec8d] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
17:05:31.956 INFO  [] Mapped "{[/v2/api-docs],methods=[GET]}" onto public org.springframework.http.ResponseEntity<springfox.documentation.spring.web.json.Json> springfox.documentation.swagger2.web.Swagger2Controller.getDocumentation(java.lang.String) 
17:05:31.960 INFO  [] Mapped "{[/configuration/security]}" onto org.springframework.http.ResponseEntity<springfox.documentation.swagger.web.SecurityConfiguration> springfox.documentation.swagger.web.ApiResourceController.securityConfiguration() 
17:05:31.960 INFO  [] Mapped "{[/configuration/ui]}" onto org.springframework.http.ResponseEntity<springfox.documentation.swagger.web.UiConfiguration> springfox.documentation.swagger.web.ApiResourceController.uiConfiguration() 
17:05:31.962 INFO  [] Mapped "{[/swagger-resources]}" onto org.springframework.http.ResponseEntity<java.util.List<springfox.documentation.swagger.web.SwaggerResource>> springfox.documentation.swagger.web.ApiResourceController.swaggerResources() 
17:05:31.973 INFO  [] Mapped "{[/api/auth/login],methods=[POST]}" onto public com.dataparse.server.service.user.User com.dataparse.server.controllers.AuthenticationController.login(java.lang.String,java.lang.String,java.lang.Boolean) throws com.dataparse.server.controllers.AuthenticationController$UnauthorizedException,com.dataparse.server.controllers.AuthenticationController$NotFoundException 
17:05:31.973 INFO  [] Mapped "{[/api/auth/logout],methods=[POST]}" onto public void com.dataparse.server.controllers.AuthenticationController.logout() 
17:05:31.974 INFO  [] Mapped "{[/api/auth/current],methods=[GET]}" onto public com.dataparse.server.service.user.User com.dataparse.server.controllers.AuthenticationController.getCurrentUser() 
17:05:31.976 INFO  [] Mapped "{[/api/billing/events],methods=[GET]}" onto public java.util.List<com.dataparse.server.service.schema.log.BookmarkActionLogEntry> com.dataparse.server.controllers.BillingController.getMyEvents() 
17:05:32.009 INFO  [] Mapped "{[/api/docs/bookmarks/save_state],methods=[POST]}" onto public com.dataparse.server.service.schema.TableBookmark com.dataparse.server.controllers.BookmarksController.saveTableBookmarkState(com.dataparse.server.controllers.api.table.SaveBookmarkStateRequest) 
17:05:32.009 INFO  [] Mapped "{[/api/docs/bookmarks/{tableBookmarkId}],methods=[PUT]}" onto public com.dataparse.server.service.schema.TableBookmark com.dataparse.server.controllers.BookmarksController.updateTableBookmark(java.lang.Long,com.dataparse.server.controllers.api.table.UpdateTableBookmarkRequest) 
17:05:32.010 INFO  [] Mapped "{[/api/docs/bookmarks/state/{tabId}/{stateId}],methods=[DELETE]}" onto public void com.dataparse.server.controllers.BookmarksController.deleteBookmarkState(java.lang.Long,java.util.UUID) 
17:05:32.010 INFO  [] Mapped "{[/api/docs/bookmarks/{id}],methods=[DELETE]}" onto public void com.dataparse.server.controllers.BookmarksController.deleteTableBookmark(java.lang.Long) 
17:05:32.010 INFO  [] Mapped "{[/api/docs/bookmarks/preset_default],methods=[POST]}" onto public com.dataparse.server.service.schema.TableBookmark com.dataparse.server.controllers.BookmarksController.presetTableBookmarkDefaultState(com.dataparse.server.controllers.api.table.PresetBookmarkStateRequest) 
17:05:32.011 INFO  [] Mapped "{[/api/docs/bookmarks/{id}/state],methods=[GET]}" onto public com.dataparse.server.service.visualization.bookmark_state.state.BookmarkStateHistoryWrapper com.dataparse.server.controllers.BookmarksController.getTableBookmarkState(com.dataparse.server.controllers.api.table.GetBookmarkRequest) 
17:05:32.011 INFO  [] Mapped "{[/api/docs/bookmarks/{tableBookmarkId}/embed],methods=[PUT]}" onto public com.dataparse.server.service.embed.EmbedSettings com.dataparse.server.controllers.BookmarksController.updateTableBookmarkEmbedSettings(java.lang.Long,com.dataparse.server.service.embed.EmbedSettings) 
17:05:32.011 INFO  [] Mapped "{[/api/docs/bookmarks],methods=[POST]}" onto public com.dataparse.server.service.schema.TableBookmark com.dataparse.server.controllers.BookmarksController.createTableBookmark(com.dataparse.server.controllers.api.table.CreateTableBookmarkRequest) 
17:05:32.011 INFO  [] Mapped "{[/api/docs/bookmarks/preset_settings_from_bookmark],methods=[POST]}" onto public com.dataparse.server.service.upload.Descriptor com.dataparse.server.controllers.BookmarksController.retrieveBookmarkDescriptor(com.dataparse.server.controllers.api.file.UpdateSchemaFromBookmarkRequest) 
17:05:32.012 INFO  [] Mapped "{[/api/docs/bookmarks/{id}/update_refresh_settings],methods=[POST]}" onto public com.dataparse.server.service.upload.RefreshSettings com.dataparse.server.controllers.BookmarksController.updateRefreshSettings(java.lang.Long,com.dataparse.server.controllers.api.table.UpdateRefreshSettingsRequest,org.springframework.validation.Errors) 
17:05:32.012 INFO  [] Mapped "{[/api/docs/bookmarks/change_bookmark_state],methods=[POST]}" onto public com.dataparse.server.service.visualization.bookmark_state.state.BookmarkStateHistoryWrapper com.dataparse.server.controllers.BookmarksController.getBookmarkState(com.dataparse.server.controllers.api.table.GetBookmarkRequest) 
17:05:32.013 INFO  [] Mapped "{[/api/docs/bookmarks/{id}/undo],methods=[POST]}" onto public com.dataparse.server.service.visualization.bookmark_state.state.BookmarkStateHistoryWrapper com.dataparse.server.controllers.BookmarksController.undo(com.dataparse.server.controllers.api.table.GetBookmarkRequest) 
17:05:32.014 INFO  [] Mapped "{[/api/docs/bookmarks/{id}/mapping],methods=[GET]}" onto public java.util.Map com.dataparse.server.controllers.BookmarksController.getIndexMapping(java.lang.Long) 
17:05:32.014 INFO  [] Mapped "{[/api/docs/bookmarks/all],methods=[GET]}" onto public java.util.List<com.dataparse.server.service.schema.TableBookmark> com.dataparse.server.controllers.BookmarksController.getAllBookmarks(java.lang.Long,java.lang.Long,java.util.UUID,boolean) 
17:05:32.015 INFO  [] Mapped "{[/api/docs/bookmarks/{id}/redo],methods=[POST]}" onto public com.dataparse.server.service.visualization.bookmark_state.state.BookmarkStateHistoryWrapper com.dataparse.server.controllers.BookmarksController.redo(com.dataparse.server.controllers.api.table.GetBookmarkRequest) 
17:05:32.015 INFO  [] Mapped "{[/api/docs/bookmarks/state],methods=[GET]}" onto public com.dataparse.server.service.schema.TableBookmark com.dataparse.server.controllers.BookmarksController.getTableBookmark(java.lang.Long,java.util.UUID,java.lang.Long) 
17:05:32.015 INFO  [] Mapped "{[/api/docs/bookmarks/move],methods=[POST]}" onto public void com.dataparse.server.controllers.BookmarksController.moveBookmark(com.dataparse.server.controllers.api.table.MoveTableBookmarkRequest) 
17:05:32.026 INFO  [] Mapped "{[/api/docs],methods=[POST]}" onto public com.dataparse.server.service.docs.Datadoc com.dataparse.server.controllers.DatadocsController.createDatadoc(com.dataparse.server.controllers.api.table.CreateDatadocRequest) 
17:05:32.027 INFO  [] Mapped "{[/api/docs/{id}],methods=[POST]}" onto public void com.dataparse.server.controllers.DatadocsController.updateDatadoc(java.lang.Long,com.dataparse.server.controllers.api.table.UpdateDatadocRequest) 
